case_id,values
BraTS-GLI-02873-100,"(0, 2, 4)"
BraTS-GLI-02854-100,"(0, 2, 4)"
BraTS-GLI-02492-104,"(0, 2)"
BraTS-GLI-02798-100,"(0, 2, 4)"
BraTS-GLI-02988-100,"(0, 2, 3, 4)"
BraTS-GLI-02513-100,"(0, 2, 3)"
BraTS-GLI-02800-100,"(0, 2, 4)"
BraTS-GLI-02256-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02846-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02959-101,"(0, 1, 2, 3, 4)"
BraTS-GLI-02225-101,"(0, 2, 4)"
BraTS-GLI-02081-102,"(0, 2, 3, 4)"
BraTS-GLI-02307-100,"(0, 1, 2, 3)"
BraTS-GLI-02424-100,"(0, 1, 2, 3)"
BraTS-GLI-02181-101,"(0, 1, 2, 3, 4)"
BraTS-GLI-02718-100,"(0, 2, 3, 4)"
BraTS-GLI-02412-100,"(0, 1, 2, 3)"
BraTS-GLI-02170-102,"(0, 1, 2, 3)"
BraTS-GLI-02115-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02813-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02081-101,"(0, 2, 3, 4)"
BraTS-GLI-02859-100,"(0, 2, 4)"
BraTS-GLI-02542-101,"(0, 1, 2, 3, 4)"
BraTS-GLI-02739-100,"(0, 2, 3, 4)"
BraTS-GLI-02103-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02427-101,"(0, 2, 3, 4)"
BraTS-GLI-03005-101,"(0, 2, 3, 4)"
BraTS-GLI-02536-102,"(0, 1, 2, 3, 4)"
BraTS-GLI-02343-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02486-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02574-102,"(0, 1, 2, 3)"
BraTS-GLI-02238-101,"(0, 2, 4)"
BraTS-GLI-02072-105,"(0, 1, 2, 3, 4)"
BraTS-GLI-02618-102,"(0, 2, 4)"
BraTS-GLI-02347-100,"(0, 1, 2, 3)"
BraTS-GLI-03051-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-03029-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02145-100,"(0, 2, 3, 4)"
BraTS-GLI-02744-100,"(0, 2, 3, 4)"
BraTS-GLI-02092-103,"(0, 2, 4)"
BraTS-GLI-02303-101,"(0, 1, 2, 3, 4)"
BraTS-GLI-02492-103,"(0, 2)"
BraTS-GLI-02076-101,"(0, 2, 3, 4)"
BraTS-GLI-02766-101,"(0, 2, 3, 4)"
BraTS-GLI-02948-101,"(0, 2, 4)"
BraTS-GLI-02919-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02245-102,"(0, 2, 3, 4)"
BraTS-GLI-02268-101,"(0, 1, 2, 3, 4)"
BraTS-GLI-02197-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02978-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02751-100,"(0, 2, 4)"
BraTS-GLI-02802-101,"(0, 2)"
BraTS-GLI-02069-102,"(0, 2, 3, 4)"
BraTS-GLI-02248-102,"(0, 2, 4)"
BraTS-GLI-02242-102,"(0, 2, 4)"
BraTS-GLI-02070-101,"(0, 1, 2, 3, 4)"
BraTS-GLI-02077-101,"(0, 1, 2, 3, 4)"
BraTS-GLI-02368-100,"(0, 2, 3, 4)"
BraTS-GLI-02952-101,"(0, 2, 3, 4)"
BraTS-GLI-02830-100,"(0, 2, 4)"
BraTS-GLI-02143-103,"(0, 1, 2, 3, 4)"
BraTS-GLI-03006-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02743-101,"(0, 2, 3, 4)"
BraTS-GLI-02798-101,"(0, 2, 4)"
BraTS-GLI-02848-101,"(0, 2, 4)"
BraTS-GLI-02860-100,"(0, 2, 4)"
BraTS-GLI-02632-100,"(0, 2, 3, 4)"
BraTS-GLI-02111-105,"(0, 1, 2, 3, 4)"
BraTS-GLI-03051-102,"(0, 1, 2, 3, 4)"
BraTS-GLI-02358-101,"(0, 1, 2, 3)"
BraTS-GLI-02742-101,"(0, 1, 2, 3, 4)"
BraTS-GLI-02062-101,"(0, 2, 3, 4)"
BraTS-GLI-02132-101,"(0, 1, 2, 3, 4)"
BraTS-GLI-02658-100,"(0, 2)"
BraTS-GLI-02247-101,"(0, 2, 3, 4)"
BraTS-GLI-02915-100,"(0, 2)"
BraTS-GLI-02327-100,"(0, 1, 2, 3, 4)"
BraTS-GLI-02747-100,"(0, 2, 3, 4)"
BraTS-GLI-02895-101,"(0, 2, 4)"
BraTS-GLI-03060-101,"(0, 2, 3, 4)"
